240	10

1	659	460
2	437	800
3	373	90
4	331	545
5	738	829
6	863	680
7	32	205
8	448	378
9	830	493
10	215	961
11	883	830
12	12	422
13	706	799
14	720	884
15	202	255
16	23	513
17	299	384
18	665	17
19	922	410
20	206	934
21	611	230
22	3	515
23	613	130
24	858	172
25	799	494
26	158	606
27	847	832
28	581	887
29	507	541
30	554	10
31	958	973
32	381	961
33	548	421
34	780	965
35	38	39
36	423	10
37	550	182
38	303	725
39	43	813
40	229	2
41	893	755
42	278	523
43	666	48
44	380	307
45	258	175
46	672	89
47	817	549
48	445	559
49	495	307
50	644	112
51	598	711
52	161	788
53	537	438
54	138	154
55	795	686
56	72	626
57	279	4
58	14	700
59	843	954
60	290	475
61	134	275
62	899	672
63	71	818
64	263	495
65	728	797
66	771	993
67	831	803
68	184	556
69	617	138
70	442	234
71	197	338
72	895	645
73	994	245
74	922	740
75	386	805
76	800	845
77	366	610
78	435	174
79	596	177
80	971	936
81	520	460
82	429	953
83	788	472
84	354	119
85	456	600
86	349	725
87	90	412
88	72	470
89	893	406
90	700	591
91	882	380
92	968	31
93	324	387
94	985	592
95	875	17
96	771	814
97	253	337
98	881	353
99	866	518
100	397	733
101	893	464
102	660	962
103	264	467
104	341	311
105	165	606
106	218	593
107	120	5
108	507	491
109	352	859
110	982	435
111	59	915
112	279	154
113	258	117
114	532	766
115	205	973
116	879	310
117	245	253
118	185	370
119	493	468
120	868	660
121	230	575
122	176	325
123	743	140
124	375	414
125	952	719
126	308	795
127	370	785
128	610	282
129	947	186
130	817	962
131	389	555
132	976	41
133	295	117
134	55	689
135	265	463
136	440	421
137	545	705
138	739	42
139	816	753
140	940	453
141	306	431
142	916	36
143	141	227
144	807	672
145	618	85
146	270	942
147	290	873
148	39	56
149	337	865
150	988	726
151	394	615
152	800	173
153	690	930
154	672	652
155	349	381
156	852	926
157	222	808
158	982	980
159	313	789
160	222	170
161	577	402
162	943	767
163	713	553
164	322	196
165	324	246
166	453	138
167	74	244
168	650	709
169	563	388
170	123	899
171	879	610
172	565	517
173	318	228
174	999	853
175	189	127
176	346	920
177	987	133
178	926	967
179	457	171
180	533	547
181	469	578
182	43	934
183	280	448
184	572	992
185	33	980
186	920	37
187	879	98
188	726	944
189	893	176
190	251	317
191	769	810
192	346	817
193	331	480
194	989	324
195	224	142
196	49	701
197	920	552
198	253	513
199	94	418
200	977	651
201	584	499
202	764	94
203	129	196
204	224	699
205	682	265
206	395	869
207	234	149
208	956	614
209	990	849
210	695	802
211	265	334
212	14	960
213	119	997
214	666	226
215	496	137
216	800	462
217	293	742
218	677	2
219	451	149
220	347	841
221	104	299
222	185	172
223	719	393
224	362	676
225	362	280
226	809	404
227	651	204
228	382	296
229	438	825
230	619	485
231	189	193
232	709	334
233	63	548
234	554	263
235	360	5
236	110	290
237	893	126
238	832	313
239	855	259
240	355	604


